year,Rs,Ro,Rt,Rf,Rc,R_scalar,Pe_raw,Pe_eff,Q,regime
2010,0.60,0.65,0.52,0.72,0.38,0.533,0.269,0.305,0.228,STABLE
2011,0.50,0.55,0.42,0.65,0.35,0.455,0.435,0.530,-0.075,FRAGILITY
2012,0.38,0.42,0.30,0.55,0.30,0.354,0.561,0.718,-0.364,RUPTURE
2013,0.25,0.28,0.20,0.40,0.25,0.251,0.648,0.859,-0.608,RUPTURE
2014,0.18,0.18,0.15,0.28,0.22,0.189,0.721,0.981,-0.792,RUPTURE
2015,0.14,0.14,0.12,0.20,0.20,0.156,0.762,1.052,-0.896,RUPTURE
2016,0.12,0.12,0.10,0.16,0.18,0.135,0.779,1.082,-0.947,RUPTURE
