year,Rs,Ro,Rt,Rf,Rc,R_scalar,Pe_raw,Pe_eff,Q,regime,note
2005,0.72,0.75,0.62,0.72,0.65,0.692,0.118,0.125,0.567,STABLE,
2007,0.74,0.76,0.64,0.74,0.66,0.706,0.140,0.150,0.556,STABLE,
2009,0.62,0.60,0.58,0.64,0.60,0.603,0.234,0.261,0.342,STABLE,recall crisis stress test
2011,0.68,0.68,0.62,0.68,0.64,0.658,0.195,0.214,0.444,STABLE,
2013,0.72,0.72,0.65,0.72,0.66,0.691,0.173,0.188,0.503,STABLE,
2015,0.74,0.74,0.68,0.74,0.68,0.713,0.191,0.209,0.504,STABLE,
2018,0.75,0.75,0.70,0.76,0.70,0.728,0.209,0.231,0.497,STABLE,
2020,0.72,0.72,0.68,0.72,0.68,0.702,0.294,0.337,0.365,STABLE,
